HGNC ID	Approved symbol	Approved name
HGNC:5160	HPRT1P2	hypoxanthine phosphoribosyltransferase 1 pseudogene 2
HGNC:5161	HPRT1P3	hypoxanthine phosphoribosyltransferase 1 pseudogene 3
HGNC:5158	HPRT2~withdrawn	entry withdrawn
HGNC:5159	HPRTP1~withdrawn	entry withdrawn
HGNC:5162	HPRTP4~withdrawn	symbol withdrawn, see HPRT1P3
HGNC:5163	HPS1	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
HGNC:15597	HPS3	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
HGNC:15844	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
HGNC:17022	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2
HGNC:18817	HPS6	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3
HGNC:5164	HPSE	heparanase
HGNC:18374	HPSE2	heparanase 2 (inactive)
HGNC:5165	HPT	hypoparathyroidism
HGNC:5168	HPV6AI1	human papillomavirus (type 6a) integration site 1
HGNC:5166	HPV18I1	human papillomavirus (type 18) integration site 1
HGNC:5167	HPV18I2	human papillomavirus (type 18) integration site 2
HGNC:5169	HPVC1~withdrawn	entry withdrawn
HGNC:5170	HPVE6A~withdrawn	symbol withdrawn, see UBE3A
HGNC:5171	HPX	hemopexin
HGNC:16071	HPYR1	Helicobacter pylori responsive 1
HGNC:5172	HR	HR lysine demethylase and nuclear receptor corepressor
HGNC:5173	HRAS	HRas proto-oncogene, GTPase
HGNC:5178	HRC	histidine rich calcium binding protein
HGNC:33872	HRCT1	histidine rich carboxyl terminus 1
HGNC:5179	HRD~withdrawn	symbol withdrawn, see TBCE
HGNC:5180	HRES1	HTLV-1 related endogenous sequence
HGNC:5181	HRG	histidine rich glycoprotein
HGNC:5182	HRH1	histamine receptor H1
HGNC:5183	HRH2	histamine receptor H2
HGNC:5184	HRH3	histamine receptor H3
HGNC:17383	HRH4	histamine receptor H4
HGNC:5185	HRK	harakiri, BCL2 interacting protein
HGNC:31728	HRMT1L5~withdrawn	symbol withdrawn, see PRMT5
HGNC:20846	HRNR	hornerin
HGNC:5189	HRP1~withdrawn	symbol withdrawn, see USP6
HGNC:5190	HRPT1~withdrawn	symbol withdrawn, see CDC73
HGNC:24979	HS1BP3	HCLS1 binding protein 3
HGNC:41474	HS1BP3-IT1	HS1BP3 intronic transcript 1
HGNC:5193	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
HGNC:5194	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
HGNC:5195	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2
HGNC:5196	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1
HGNC:5198	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1
HGNC:5200	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4
HGNC:19419	HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5
HGNC:14178	HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6
HGNC:5201	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
HGNC:31835	HS6ST1P1	heparan sulfate 6-O-sulfotransferase 1 pseudogene 1
HGNC:19133	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
HGNC:40870	HS6ST2-AS1	HS6ST2 antisense RNA 1
HGNC:19134	HS6ST3	heparan sulfate 6-O-sulfotransferase 3
HGNC:5202	HSAS1~withdrawn	symbol withdrawn, see L1CAM
HGNC:5203	HSBP1	heat shock factor binding protein 1
HGNC:37243	HSBP1L1	heat shock factor binding protein 1 like 1
HGNC:20053	HSBP1P1	heat shock factor binding protein 1 pseudogene 1
HGNC:37300	HSBP1P2	heat shock factor binding protein 1 pseudogene 2
HGNC:5204	HSC~withdrawn	symbol withdrawn, see FUT1
HGNC:28913	HSCB	HscB mitochondrial iron-sulfur cluster cochaperone
HGNC:5205	HSCR~withdrawn	symbol withdrawn, see EDNRB
HGNC:5206	HSCR1~withdrawn	symbol withdrawn, see RET
HGNC:5207	HSCR2~withdrawn	symbol withdrawn, see EDNRB
HGNC:5217	HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
HGNC:5218	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
HGNC:18324	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
HGNC:5219	HSD3BP1	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 1
HGNC:5220	HSD3BP2	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 2
HGNC:5221	HSD3BP3	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 3
HGNC:5222	HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4
HGNC:5223	HSD3BP5	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 5
HGNC:5208	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
HGNC:54053	HSD11B1-AS1	HSD11B1 antisense RNA 1
HGNC:30419	HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like
HGNC:5209	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2
HGNC:5210	HSD17B1	hydroxysteroid 17-beta dehydrogenase 1
HGNC:5216	HSD17B1P1	hydroxysteroid 17-beta dehydrogenase 1 pseudogene 1
HGNC:5211	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2
HGNC:5212	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3
HGNC:53136	HSD17B3-AS1	HSD17B3 antisense RNA 1
HGNC:5213	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4
HGNC:5214	HSD17B5~withdrawn	symbol withdrawn, see AKR1C3
HGNC:23316	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
HGNC:5215	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7
HGNC:18689	HSD17B7P1	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 1
HGNC:28120	HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2
HGNC:3554	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8
HGNC:4800	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10
HGNC:22960	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11
HGNC:18646	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12
HGNC:18685	HSD17B13	hydroxysteroid 17-beta dehydrogenase 13
HGNC:23238	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
HGNC:16475	HSDL1	hydroxysteroid dehydrogenase like 1
HGNC:18572	HSDL2	hydroxysteroid dehydrogenase like 2
HGNC:5224	HSF1	heat shock transcription factor 1
HGNC:5225	HSF2	heat shock transcription factor 2
HGNC:5226	HSF2BP	heat shock transcription factor 2 binding protein
HGNC:5227	HSF4	heat shock transcription factor 4
HGNC:26862	HSF5	heat shock transcription factor 5
HGNC:29603	HSFX1	heat shock transcription factor family, X-linked 1
HGNC:32701	HSFX2	heat shock transcription factor family, X-linked 2
HGNC:52395	HSFX3	heat shock transcription factor family, X-linked member 3
HGNC:52398	HSFX4	heat shock transcription factor family, X-linked member 4
HGNC:18568	HSFY1	heat shock transcription factor Y-linked 1
HGNC:1846	HSFY1P1	HSFY1 pseudogene 1
HGNC:23950	HSFY2	heat shock transcription factor Y-linked 2
HGNC:37119	HSFY3P	heat shock transcription factor Y-linked 3, pseudogene
HGNC:37721	HSFY4P	heat shock transcription factor Y-linked 4, pseudogene
HGNC:38789	HSFY5P	heat shock transcription factor Y-linked 5, pseudogene
HGNC:38790	HSFY6P	heat shock transcription factor Y-linked 6, pseudogene
HGNC:38791	HSFY7P	heat shock transcription factor Y-linked 7, pseudogene
HGNC:38792	HSFY8P	heat shock transcription factor Y-linked 8, pseudogene
HGNC:24920	HSH2D	hematopoietic SH2 domain containing
HGNC:5230	HSN1~withdrawn	symbol withdrawn, see SPTLC1
HGNC:23152	HSN2~withdrawn	symbol withdrawn, see WNK1
HGNC:5253	HSP90AA1	heat shock protein 90 alpha family class A member 1
HGNC:5256	HSP90AA2P	heat shock protein 90 alpha family class A member 2, pseudogene
HGNC:5254	HSP90AA3P	heat shock protein 90 alpha family class A member 3, pseudogene
HGNC:5255	HSP90AA4P	heat shock protein 90 alpha family class A member 4, pseudogene
HGNC:32535	HSP90AA5P	heat shock protein 90 alpha family class A member 5, pseudogene
HGNC:32536	HSP90AA6P	heat shock protein 90 alpha family class A member 6, pseudogene
HGNC:5258	HSP90AB1	heat shock protein 90 alpha family class B member 1
HGNC:32537	HSP90AB2P	heat shock protein 90 alpha family class B member 2, pseudogene
HGNC:5259	HSP90AB3P	heat shock protein 90 alpha family class B member 3, pseudogene
HGNC:32538	HSP90AB4P	heat shock protein 90 alpha family class B member 4, pseudogene
HGNC:32539	HSP90AB5P	heat shock protein 90 alpha family class B member 5, pseudogene
HGNC:32540	HSP90AB6P	heat shock protein 90 alpha family class B member 6, pseudogene
HGNC:44701	HSP90AB7P	heat shock protein 90 alpha family class B member 7, pseudogene
HGNC:12028	HSP90B1	heat shock protein 90 beta family member 1
HGNC:12099	HSP90B2P	heat shock protein 90 beta family member 2, pseudogene
HGNC:12100	HSP90B3P	heat shock protein 90 beta family member 3, pseudogene
HGNC:5232	HSPA1A	heat shock protein family A (Hsp70) member 1A
HGNC:5233	HSPA1B	heat shock protein family A (Hsp70) member 1B
HGNC:5234	HSPA1L	heat shock protein family A (Hsp70) member 1 like
HGNC:5235	HSPA2	heat shock protein family A (Hsp70) member 2
HGNC:5236	HSPA3~withdrawn	entry withdrawn
HGNC:5237	HSPA4	heat shock protein family A (Hsp70) member 4
HGNC:17041	HSPA4L	heat shock protein family A (Hsp70) member 4 like
HGNC:5238	HSPA5	heat shock protein family A (Hsp70) member 5
HGNC:5239	HSPA6	heat shock protein family A (Hsp70) member 6
HGNC:5240	HSPA7	heat shock protein family A (Hsp70) member 7
HGNC:5241	HSPA8	heat shock protein family A (Hsp70) member 8
HGNC:5245	HSPA8P1	heat shock protein family A (Hsp70) member 8 pseudogene 1
HGNC:39806	HSPA8P2	heat shock protein family A (Hsp70) member 8 pseudogene 2
HGNC:44918	HSPA8P3	heat shock protein family A (Hsp70) member 8 pseudogene 3
HGNC:44919	HSPA8P4	heat shock protein family A (Hsp70) member 8 pseudogene 4
HGNC:44920	HSPA8P5	heat shock protein family A (Hsp70) member 8 pseudogene 5
HGNC:44921	HSPA8P6	heat shock protein family A (Hsp70) member 8 pseudogene 6
HGNC:44922	HSPA8P7	heat shock protein family A (Hsp70) member 8 pseudogene 7
HGNC:44923	HSPA8P8	heat shock protein family A (Hsp70) member 8 pseudogene 8
HGNC:44924	HSPA8P9	heat shock protein family A (Hsp70) member 8 pseudogene 9
HGNC:44925	HSPA8P10	heat shock protein family A (Hsp70) member 8 pseudogene 10
HGNC:44926	HSPA8P11	heat shock protein family A (Hsp70) member 8 pseudogene 11
HGNC:44927	HSPA8P12	heat shock protein family A (Hsp70) member 8 pseudogene 12
HGNC:44928	HSPA8P13	heat shock protein family A (Hsp70) member 8 pseudogene 13
HGNC:44929	HSPA8P14	heat shock protein family A (Hsp70) member 8 pseudogene 14
HGNC:44930	HSPA8P15	heat shock protein family A (Hsp70) member 8 pseudogene 15
HGNC:44931	HSPA8P16	heat shock protein family A (Hsp70) member 8 pseudogene 16
HGNC:44932	HSPA8P17	heat shock protein family A (Hsp70) member 8 pseudogene 17
HGNC:44933	HSPA8P18	heat shock protein family A (Hsp70) member 8 pseudogene 18
HGNC:44935	HSPA8P19	heat shock protein family A (Hsp70) member pseudogene 19
HGNC:44936	HSPA8P20	heat shock protein family A (Hsp70) member 8 pseudogene 20
HGNC:5244	HSPA9	heat shock protein family A (Hsp70) member 9
HGNC:5243	HSPA9A~withdrawn	entry withdrawn
HGNC:24915	HSPA9P1	heat shock protein family A (Hsp70) member 9 pseudogene 1
HGNC:31733	HSPA9P2	heat shock protein family A (Hsp70) member 9 pseudogene 2
HGNC:5231	HSPA10~withdrawn	symbol withdrawn, see HSPA8
HGNC:19022	HSPA12A	heat shock protein family A (Hsp70) member 12A
HGNC:16193	HSPA12B	heat shock protein family A (Hsp70) member 12B
HGNC:11375	HSPA13	heat shock protein family A (Hsp70) member 13
HGNC:29526	HSPA14	heat shock protein family A (Hsp70) member 14
HGNC:5246	HSPB1	heat shock protein family B (small) member 1
HGNC:5251	HSPB1P1	heat shock protein family B (small) member 1 pseudogene 1
HGNC:5252	HSPB1P2	heat shock protein family B (small) member 1 pseudogene 2
HGNC:5247	HSPB2	heat shock protein family B (small) member 2
HGNC:41996	HSPB2-C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)
HGNC:5248	HSPB3	heat shock protein family B (small) member 3
HGNC:26511	HSPB6	heat shock protein family B (small) member 6
HGNC:5249	HSPB7	heat shock protein family B (small) member 7
HGNC:30171	HSPB8	heat shock protein family B (small) member 8
HGNC:30589	HSPB9	heat shock protein family B (small) member 9
HGNC:25019	HSPB11	heat shock protein family B (small) member 11
HGNC:16389	HSPBAP1	HSPB1 associated protein 1
HGNC:5250	HSPBL1~withdrawn	entry withdrawn
HGNC:24989	HSPBP1	HSPA (Hsp70) binding protein 1
HGNC:5257	HSPCAL4~withdrawn	symbol withdrawn, see HSP90AA1
HGNC:5260	HSPCP2~withdrawn	symbol withdrawn, see HSP90B2P
HGNC:5261	HSPD1	heat shock protein family D (Hsp60) member 1
HGNC:35133	HSPD1P1	heat shock protein family D (Hsp60) member 1 pseudogene 1
HGNC:5263	HSPD1P2	heat shock protein family D (Hsp60) member 1 pseudogene 2
HGNC:5264	HSPD1P3	heat shock protein family D (Hsp60) member 1 pseudogene 3
HGNC:35146	HSPD1P4	heat shock protein family D (Hsp60) member 1 pseudogene 4
HGNC:5266	HSPD1P5	heat shock protein family D (Hsp60) member 1 pseudogene 5
HGNC:5267	HSPD1P6	heat shock protein family D (Hsp60) member 1 pseudogene 6
HGNC:5268	HSPD1P7	heat shock protein family D (Hsp60) member 1 pseudogene 7
HGNC:35145	HSPD1P8	heat shock protein family D (Hsp60) member 1 pseudogene 8
HGNC:35132	HSPD1P9	heat shock protein family D (Hsp60) member 1 pseudogene 9
HGNC:35131	HSPD1P10	heat shock protein family D (Hsp60) member 1 pseudogene 10
HGNC:35142	HSPD1P11	heat shock protein family D (Hsp60) member 1 pseudogene 11
HGNC:35140	HSPD1P12	heat shock protein family D (Hsp60) member 1 pseudogene 12
HGNC:35138	HSPD1P13	heat shock protein family D (Hsp60) member 1 pseudogene 13
HGNC:35143	HSPD1P14	heat shock protein family D (Hsp60) member 1 pseudogene 14
HGNC:35130	HSPD1P15	heat shock protein family D (Hsp60) member 1 pseudogene 15
HGNC:35128	HSPD1P16	heat shock protein family D (Hsp60) member 1 pseudogene 16
HGNC:35147	HSPD1P17	heat shock protein family D (Hsp60) member 1 pseudogene 17
HGNC:35136	HSPD1P18	heat shock protein family D (Hsp60) member 1 pseudogene 18
HGNC:38590	HSPD1P19	heat shock protein family D (Hsp60) member 1 pseudogene 19
HGNC:38591	HSPD1P20	heat shock protein family D (Hsp60) member 1 pseudogene 20
HGNC:38592	HSPD1P21	heat shock protein family D (Hsp60) member 1 pseudogene 21
HGNC:39502	HSPD1P22	heat shock protein family D (Hsp60) member 1 pseudogene 22
HGNC:5262	HSPDP1~withdrawn	symbol withdrawn, see HSPD1P3
HGNC:5265	HSPDP4~withdrawn	symbol withdrawn, see HSPD1P3
HGNC:5269	HSPE1	heat shock protein family E (Hsp10) member 1
HGNC:49184	HSPE1-MOB4	HSPE1-MOB4 readthrough
HGNC:16530	HSPE1P1	heat shock protein family E (Hsp10) member 1 pseudogene 1
HGNC:20052	HSPE1P2	heat shock protein family E (Hsp10) member 1 pseudogene 2
HGNC:49322	HSPE1P3	heat shock protein family E (Hsp10) member 1 pseudogene 3
HGNC:49323	HSPE1P4	heat shock protein family E (Hsp10) member 1 pseudogene 4
HGNC:49324	HSPE1P5	heat shock protein family E (Hsp10) member 1 pseudogene 5
HGNC:49325	HSPE1P6	heat shock protein family E (Hsp10) member 1 pseudogene 6
HGNC:49327	HSPE1P7	heat shock protein family E (Hsp10) member 1 pseudogene 7
HGNC:49326	HSPE1P8	heat shock protein family E (Hsp10) member 1 pseudogene 8
HGNC:49328	HSPE1P9	heat shock protein family E (Hsp10) member 1 pseudogene 9
HGNC:49329	HSPE1P10	heat shock protein family E (Hsp10) member 1 pseudogene 10
HGNC:49330	HSPE1P11	heat shock protein family E (Hsp10) member 1 pseudogene 11
HGNC:49331	HSPE1P12	heat shock protein family E (Hsp10) member 1 pseudogene 12
HGNC:49332	HSPE1P13	heat shock protein family E (Hsp10) member 1 pseudogene 13
HGNC:49333	HSPE1P14	heat shock protein family E (Hsp10) member 1 pseudogene 14
HGNC:49335	HSPE1P15	heat shock protein family E (Hsp10) member 1 pseudogene 15
HGNC:49334	HSPE1P16	heat shock protein family E (Hsp10) member 1 pseudogene 16
HGNC:49336	HSPE1P17	heat shock protein family E (Hsp10) member 1 pseudogene 17
HGNC:49337	HSPE1P18	heat shock protein family E (Hsp10) member 1 pseudogene 18
HGNC:49338	HSPE1P19	heat shock protein family E (Hsp10) member 1 pseudogene 19
HGNC:49339	HSPE1P20	heat shock protein family E (Hsp10) member 1 pseudogene 20
HGNC:49340	HSPE1P21	heat shock protein family E (Hsp10) member 1 pseudogene 21
HGNC:49341	HSPE1P22	heat shock protein family E (Hsp10) member 1 pseudogene 22
HGNC:49342	HSPE1P23	heat shock protein family E (Hsp10) member 1 pseudogene 23
HGNC:49343	HSPE1P24	heat shock protein family E (Hsp10) member 1 pseudogene 24
HGNC:49344	HSPE1P25	heat shock protein family E (Hsp10) member 1 pseudogene 25
HGNC:49345	HSPE1P26	heat shock protein family E (Hsp10) member 1 pseudogene 26
HGNC:49346	HSPE1P27	heat shock protein family E (Hsp10) member 1 pseudogene 27
HGNC:49347	HSPE1P28	heat shock protein family E (Hsp10) member 1 pseudogene 28
HGNC:5272	HSPG1~withdrawn	symbol withdrawn, see SDC2
HGNC:5273	HSPG2	heparan sulfate proteoglycan 2
HGNC:16969	HSPH1	heat shock protein family H (Hsp110) member 1
HGNC:34233	HSR1~withdrawn	entry withdrawn
HGNC:5274	HSST~withdrawn	symbol withdrawn, see NDST1
HGNC:16637	HTATIP2	HIV-1 Tat interactive protein 2
HGNC:5276	HTATSF1	HIV-1 Tat specific factor 1
HGNC:13959	HTATSF1P1	HIV-1 Tat specific factor 1 pseudogene 1
HGNC:38586	HTATSF1P2	HIV-1 Tat specific factor 1 pseudogene 2
HGNC:5277	HTC1	hypertrichosis 1 (universalis, congenital)
HGNC:5278	HTC2	hypertrichosis 2 (generalized, congenital)
HGNC:53111	HTD2	hydroxyacyl-thioester dehydratase type 2
HGNC:5279	HTK~withdrawn	symbol withdrawn, see EPHB4
HGNC:5280	HTL	high L-leucine transport
HGNC:5282	HTLVR~withdrawn	symbol withdrawn, see SLC2A1
HGNC:5283	HTN1	histatin 1
HGNC:5284	HTN3	histatin 3
HGNC:5285	HTOR	5-hydroxytryptamine (serotonin) oxygenase regulator
HGNC:5286	HTR1A	5-hydroxytryptamine receptor 1A
HGNC:5287	HTR1B	5-hydroxytryptamine receptor 1B
HGNC:5288	HTR1C~withdrawn	symbol withdrawn, see HTR2C
HGNC:5289	HTR1D	5-hydroxytryptamine receptor 1D
HGNC:5290	HTR1DP1	5-hydroxytryptamine receptor 1D pseudogene 1
HGNC:5291	HTR1E	5-hydroxytryptamine receptor 1E
HGNC:5292	HTR1F	5-hydroxytryptamine receptor 1F
HGNC:5293	HTR2A	5-hydroxytryptamine receptor 2A
HGNC:40289	HTR2A-AS1	HTR2A antisense RNA 1
HGNC:5294	HTR2B	5-hydroxytryptamine receptor 2B
HGNC:5295	HTR2C	5-hydroxytryptamine receptor 2C
HGNC:41344	HTR2C-IT1~withdrawn	entry withdrawn
HGNC:5296	HTR3~withdrawn	symbol withdrawn, see HTR3A
HGNC:5297	HTR3A	5-hydroxytryptamine receptor 3A
HGNC:5298	HTR3B	5-hydroxytryptamine receptor 3B
HGNC:24003	HTR3C	5-hydroxytryptamine receptor 3C
HGNC:53986	HTR3C2P	5-hydroxytryptamine receptor 3C2, pseudogene
HGNC:24004	HTR3D	5-hydroxytryptamine receptor 3D
HGNC:24005	HTR3E	5-hydroxytryptamine receptor 3E
HGNC:41032	HTR3E-AS1	HTR3E antisense RNA 1
HGNC:5299	HTR4	5-hydroxytryptamine receptor 4
HGNC:41345	HTR4-IT1~withdrawn	entry withdrawn
HGNC:5300	HTR5A	5-hydroxytryptamine receptor 5A
HGNC:48956	HTR5A-AS1	HTR5A antisense RNA 1
HGNC:16291	HTR5BP	5-hydroxytryptamine receptor 5B, pseudogene
HGNC:5301	HTR6	5-hydroxytryptamine receptor 6
HGNC:5302	HTR7	5-hydroxytryptamine receptor 7
HGNC:30411	HTR7P1	5-hydroxytryptamine receptor 7 pseudogene 1
HGNC:9476	HTRA1	HtrA serine peptidase 1
HGNC:14348	HTRA2	HtrA serine peptidase 2
HGNC:30406	HTRA3	HtrA serine peptidase 3
HGNC:26909	HTRA4	HtrA serine peptidase 4
HGNC:5303	HTRL~withdrawn	symbol withdrawn, see HTR1D
HGNC:4851	HTT	huntingtin
HGNC:37118	HTT-AS	HTT antisense RNA
HGNC:5304	HTT~withdrawn	symbol withdrawn, see SLC6A4
HGNC:5305	HTX1~withdrawn	symbol withdrawn, see ZIC3
HGNC:5306	HTX2~withdrawn	symbol withdrawn, see CFC1
HGNC:5307	HUD~withdrawn	symbol withdrawn, see ELAVL4
HGNC:34232	HULC	hepatocellular carcinoma up-regulated long non-coding RNA
HGNC:13326	HUNK	hormonally up-regulated Neu-associated kinase
HGNC:40631	HUNK-AS1	HUNK antisense RNA 1
HGNC:5308	HUR~withdrawn	symbol withdrawn, see ELAVL1
HGNC:5309	HUS1	HUS1 checkpoint clamp component
HGNC:16485	HUS1B	HUS1 checkpoint clamp component B
HGNC:30892	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1
HGNC:5310	HV1S~withdrawn	entry withdrawn
HGNC:5311	HVBS1~withdrawn	entry withdrawn
HGNC:5312	HVBS4~withdrawn	entry withdrawn
HGNC:5313	HVBS6~withdrawn	entry withdrawn
HGNC:5314	HVBS7	hepatitis B virus integration site 7
HGNC:5315	HVBS8	hepatitis B virus integration site 8
HGNC:28240	HVCN1	hydrogen voltage gated channel 1
HGNC:5316	HVEB~withdrawn	symbol withdrawn, see NECTIN2
HGNC:5317	HVEC~withdrawn	symbol withdrawn, see NECTIN1
HGNC:5319	HY~withdrawn	symbol withdrawn, see KDM5D
HGNC:5320	HYAL1	hyaluronidase 1
HGNC:5321	HYAL2	hyaluronidase 2
HGNC:5322	HYAL3	hyaluronidase 3
HGNC:5323	HYAL4	hyaluronidase 4
HGNC:5324	HYAL6P	hyaluronidase 6, pseudogene
HGNC:13822	HYD2	hypodontia 2 (autosomal recessive)
HGNC:19368	HYDIN	HYDIN axonemal central pair apparatus protein
HGNC:33129	HYDIN2	HYDIN axonemal central pair apparatus protein 2 (pseudogene)
HGNC:26948	HYI	hydroxypyruvate isomerase (putative)
HGNC:41173	HYI-AS1	HYI antisense RNA 1
HGNC:34403	HYKK	hydroxylysine kinase
HGNC:5325	HYKPP~withdrawn	symbol withdrawn, see SCN4A
HGNC:26558	HYLS1	HYLS1 centriolar and ciliogenesis associated
HGNC:5326	HYMAI	hydatidiform mole associated and imprinted
HGNC:16931	HYOU1	hypoxia up-regulated 1
HGNC:5327	HYP~withdrawn	symbol withdrawn, see PHEX
HGNC:18418	HYPK	huntingtin interacting protein K
HGNC:18417	HYPM	huntingtin interacting protein M
HGNC:5328	HYRC1~withdrawn	symbol withdrawn, see PRKDC
HGNC:27696	IAH1	isoamyl acetate hydrolyzing esterase 1 (putative)
HGNC:5329	IAPP	islet amyloid polypeptide
HGNC:5330	IARS	isoleucyl-tRNA synthetase
HGNC:29685	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial
HGNC:50474	IARS2P1	IARS2 pseudogene 1
HGNC:53719	IATPR	ITGB1 adjacent tumor promoting lncRNA
HGNC:27302	IBA57	iron-sulfur cluster assembly factor IBA57
HGNC:32062	IBA57-DT	IBA57 divergent transcript
HGNC:5332	IBD2	inflammatory bowel disease 2
HGNC:13863	IBD3	inflammatory bowel disease 3
HGNC:5333	IBD4	inflammatory bowel disease 4
HGNC:5334	IBD5	inflammatory bowel disease 5
HGNC:5335	IBD6	inflammatory bowel disease 6
HGNC:14242	IBD7	inflammatory bowel disease 7
HGNC:20235	IBD8	inflammatory bowel disease 8
HGNC:20236	IBD9	inflammatory bowel disease 9
HGNC:5336	IBGC1	idiopathic basal ganglia calcification 1
HGNC:5337	IBM2~withdrawn	symbol withdrawn, see GNE
HGNC:5338	IBM3~withdrawn	symbol withdrawn, see MYH2
HGNC:5339	IBP1~withdrawn	symbol withdrawn, see IGBP1
HGNC:5340	IBP2~withdrawn	symbol withdrawn, see IGFBP2
HGNC:5341	IBSP	integrin binding sialoprotein
HGNC:17853	IBTK	inhibitor of Bruton tyrosine kinase
HGNC:31672	IBTKP1	inhibitor of Bruton tyrosine kinase pseudogene 1
HGNC:5342	IC1~withdrawn	entry withdrawn
HGNC:5343	ICA1	islet cell autoantigen 1
HGNC:14442	ICA1L	islet cell autoantigen 1 like
HGNC:5344	ICAM1	intercellular adhesion molecule 1
HGNC:5345	ICAM2	intercellular adhesion molecule 2
HGNC:5346	ICAM3	intercellular adhesion molecule 3
HGNC:5347	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
HGNC:5348	ICAM5	intercellular adhesion molecule 5
HGNC:5349	ICCA~withdrawn	symbol withdrawn, see PRRT2
HGNC:29154	ICE1	interactor of little elongation complex ELL subunit 1
HGNC:29885	ICE2	interactor of little elongation complex ELL subunit 2
HGNC:48856	ICE2P1	interactor of little elongation complex ELL subunit 2 pseudogene 1
HGNC:48857	ICE2P2	interactor of little elongation complex ELL subunit 2 pseudogene 2
HGNC:21219	ICK	intestinal cell kinase
HGNC:5350	ICMT	isoprenylcysteine carboxyl methyltransferase
HGNC:5351	ICOS	inducible T cell costimulator
HGNC:17087	ICOSLG	inducible T cell costimulator ligand
HGNC:5352	ICR1	ichthyosis congenita I, erythromatous lamellar ichthyosis, ichthyosiform erythroderma
HGNC:5353	ICR2B~withdrawn	symbol withdrawn, see ABCA12
HGNC:5354	ICR3	ichthyosis congenita III, vulgaris-like recessive ichthyosis
HGNC:5355	ICR4	ichthyosis congenita IV, ichthyosis-prematurity syndrome
HGNC:5356	ICR5	ichthyosis congenita V, Sjogren-Larsson-like
HGNC:5357	ICS1	immotile cilia syndrome 1
HGNC:5360	ID1	inhibitor of DNA binding 1, HLH protein
HGNC:5361	ID2	inhibitor of DNA binding 2
HGNC:51103	ID2-AS1	ID2 antisense RNA 1
HGNC:30656	ID2B	inhibitor of DNA binding 2B, HLH protein (pseudogene)
HGNC:5362	ID3	inhibitor of DNA binding 3, HLH protein
HGNC:5363	ID4	inhibitor of DNA binding 4, HLH protein
HGNC:5373	IDDM2~withdrawn	symbol withdrawn, see INS
HGNC:5374	IDDM3	insulin dependent diabetes mellitus 3
HGNC:5375	IDDM4	insulin dependent diabetes mellitus 4
HGNC:5376	IDDM5~withdrawn	symbol withdrawn, see SUMO4
HGNC:5377	IDDM6	insulin dependent diabetes mellitus 6
HGNC:5378	IDDM7	insulin dependent diabetes mellitus 7
HGNC:5379	IDDM8	insulin dependent diabetes mellitus 8
HGNC:5380	IDDM9	insulin dependent diabetes mellitus 9
